Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,
123,Abilene Christian,Slnd,7-1,4.32,97.7,93.4,70.5,,,,,
259,Air Force,MWC,2-2,-8.13,96.1,104.2,63.5,,,,,
144,Akron,MAC,1-1,1.67,101.4,99.7,72.7,,,,,
51,Alabama,SEC,4-2,15.69,108.8,93.1,74.7,,,,,
340,Alabama A&M,SWAC,1-0,-17.53,87.9,105.4,71.1,,,,,
352,Alabama St.,SWAC,0-0,-21.7,84.7,106.4,71.7,,,,,
298,Albany,AE,0-0,-10.71,92.9,103.6,70.4,,,,,
341,Alcorn St.,SWAC,0-1,-17.83,89.1,107,72.2,,,,,
257,American,Pat,0-0,-7.9,95.2,103.1,70.3,,,,,
197,Appalachian St.,SB,4-2,-3.43,97.4,100.8,68.9,,,,,
44,Arizona,P12,5-0,16.62,106.9,90.3,70.5,,,,,
58,Arizona St.,P12,4-3,13.84,108.6,94.8,75.8,,,,,
36,Arkansas,SEC,6-0,17.61,108.1,90.5,72.4,,,,,
351,Arkansas Pine Bluff,SWAC,1-7,-21.5,85.7,107.2,71.4,,,,,
281,Arkansas St.,SB,2-4,-9.63,96.6,106.2,70.3,,,,,
211,Army,Pat,4-1,-4.39,94.7,99.1,71,,,,,
75,Auburn,SEC,4-2,10.85,106,95.1,72,,,,,
187,Austin Peay,OVC,4-3,-2.23,102.4,104.6,71.2,,,,,
132,Ball St.,MAC,3-2,2.95,101.4,98.4,70.4,,,,,
2,Baylor,B12,4-0,29.21,116.5,87.3,69.7,,,,,
262,Bellarmine,ASun,1-2,-8.31,96.5,104.8,69.2,,,,,
112,Belmont,OVC,6-1,5.68,103.1,97.4,73.8,,,,,
348,Bethune Cookman,MEAC,0-0,-20.66,88.6,109.3,75,,,,,
342,Binghamton,AE,0-3,-18.09,90.4,108.5,69.8,,,,,
91,Boise St.,MWC,4-1,8.12,104.3,96.2,70.7,,,,,
100,Boston College,ACC,1-5,6.92,104.1,97.2,73.1,,,,,
180,Boston University,Pat,0-0,-1.82,99.5,101.3,70,,,,,
167,Bowling Green,MAC,4-2,-0.82,102.6,103.4,73.4,,,,,
119,Bradley,MVC,4-2,4.86,100.5,95.7,68.5,,,,,
226,Brown,Ivy,0-0,-5.83,93.7,99.5,72.4,,,,,
222,Bryant,NEC,5-2,-5.48,99.7,105.2,76.3,,,,,
245,Bucknell,Pat,0-0,-6.94,95.5,102.4,72.4,,,,,
122,Buffalo,MAC,3-2,4.54,103.3,98.7,74.5,,,,,
65,Butler,BE,1-1,12.44,106.6,94.1,68.6,,,,,
77,BYU,WCC,6-2,9.97,104.4,94.4,71.9,,,,,
275,Cal Baptist,WAC,3-2,-9.1,98.1,107.2,72.6,,,,,
323,Cal Poly,BW,2-3,-13.46,92,105.4,71.2,,,,,
204,Cal St. Bakersfield,BW,2-2,-3.72,96.4,100.1,67.7,,,,,
325,Cal St. Fullerton,BW,1-0,-13.74,90.2,104,71.9,,,,,
271,Cal St. Northridge,BW,3-2,-8.85,99.1,108,72,,,,,
134,California,P12,3-4,2.77,99.8,97,66.8,,,,,
251,Campbell,BSth,4-1,-7.5,98.2,105.7,68.5,,,,,
230,Canisius,MAAC,1-1,-5.95,97.4,103.3,72.2,,,,,
242,Central Arkansas,Slnd,0-6,-6.8,97.7,104.5,76.1,,,,,
