Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
123,Abilene Christian,Slnd,7-2,4.45,99,94.6,70,,,,,,,
256,Air Force,MWC,3-3,-7.66,96.3,104,63.5,,,,,,,
128,Akron,MAC,3-1,3.78,104.4,100.7,70.9,,,,,,,
53,Alabama,SEC,5-3,14.98,109.2,94.2,74,,,,,,,
339,Alabama A&M,SWAC,2-0,-16.65,89,105.6,71.4,,,,,,,
352,Alabama St.,SWAC,0-0,-21.7,85.4,107.1,71.3,,,,,,, 
298,Albany,AE,0-3,-10.94,92.9,103.8,69.9,,,,,,,
343,Alcorn St.,SWAC,0-3,-19.09,90.1,109.2,72.4,,,,,,,
258,American,Pat,0-0,-7.9,95.9,103.8,69.8,,,,,,,
200,Appalachian St.,SB,6-3,-3.6,98,101.6,67.2,,,,,,,
48,Arizona,P12,6-1,15.9,108.2,92.3,70.1,,,,,,,
55,Arizona St.,P12,4-3,13.87,109.3,95.4,75.7,,,,,,,
36,Arkansas,SEC,8-0,17.45,109.2,91.7,73,,,,,,,
351,Arkansas Pine Bluff,SWAC,1-8,-21.54,86.4,107.9,71.4,,,,,,,
279,Arkansas St.,SB,3-4,-9.68,97.3,107,69.8,,,,,, ,
208,Army,Pat,4-1,-4.37,95.3,99.7,70.5,,,,,,,
66,Auburn,SEC,6-2,12.04,106.9,94.9,69.5,,,,,,,
179,Austin Peay,OVC,5-3,-1.69,103.3,105,70.6,,,,,,,
136,Ball St.,MAC,4-3,2.51,101,98.5,71.1,,,,,,,
1,Baylor,B12,6-0,30.44,118.8,88.3,69.8,,,,,,,
262,Bellarmine,ASun,1-2,-8.24,97.2,105.5,68.8,,,,,,,
109,Belmont,OVC,8-1,6.33,104.7,98.3,73,,,,,,,
349,Bethune Cookman,MEAC,0-0,-20.66,89.3,109.9,74.6,,,,,,,
342,Binghamton,AE,0-5,-19.03,90.9,109.9,69,,,,,,,
84,Boise St.,MWC,5-1,9.62,105.5,95.9,69.2,,,,,,,
108,Boston College,ACC,2-5,6.37,104.2,97.9,73.1,,,,,,,
180,Boston University,Pat,0-0,-1.82,100.2,102,69.6,,,,,,,
155,Bowling Green,MAC,5-2,0.89,104.6,103.7,72.6,,,,,,,
112,Bradley,MVC,6-3,5.71,101.1,95.4,67.7,,,,,,,
230,Brown,Ivy,0-0,-5.83,94.3,100.2,72,,,,,,,
199,Bryant,NEC,7-2,-3.58,101.8,105.4,77.6,,,,,,,
246,Bucknell,Pat,0-0,-6.94,96.2,103.1,71.9,,,,,,,
118,Buffalo,MAC,3-3,4.95,104.9,100,74.5,,,,,,,
73,Butler,BE,1-3,10.99,106.9,95.9,68.4,,,,,,,
65,BYU,WCC,8-2,12.05,106.3,94.3,71.8,,,,,,,
272,Cal Baptist,WAC,3-2,-9.09,98.7,107.8,72.1,,,,,,,
329,Cal Poly,BW,2-4,-14.52,92,106.5,70.2,,,,,,,
201,Cal St. Bakersfield,BW,3-3,-3.62,96.2,99.9,67.6,,,,,,,
323,Cal St. Fullerton,BW,1-0,-13.74,90.9,104.6,71.5,,,,,,,
281,Cal St. Northridge,BW,3-3,-10.03,99.1,109.1,72.1,,,,,,,
133,California,P12,5-4,3.16,101,97.8,66.4,,,,,,,
274,Campbell,BSth,4-3,-9.19,96.9,106.1,68.4,,,,,,,
227,Canisius,MAAC,1-1,-5.67,98.3,104,71.8,,,,,,,
245,Central Arkansas,Slnd,1-6,-6.86,98.4,105.2,75.4,,,,,,,
336,Central Connecticut,NEC,2-5,-15.31,94.3,109.6,72.5,,,,,,,
248,Central Michigan,MAC,4-4,-7.29,99.4,106.7,73.2,,,,,,,
222,Charleston,CAA,2-5,-5.2,98.6,103.8,65.4,,,,,,,
314,Charleston Southern,BSth,1-5,-12.71,91.5,104.2,69,,,,,,,
