Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
1,Gonzaga,WCC,3-0,29.27,117.9,88.6,75.5
2,Baylor,B12,4-0,29.13,116.3,87.2,70
3,Villanova,BE,5-1,25.35,115.4,90,66
4,Iowa,B10,6-0,24.57,119,94.4,74.5
5,Texas,B12,5-1,23.93,109.9,86,69.4
6,West Virginia,B12,6-1,23.5,111,87.5,71
7,Wisconsin,B10,4-1,22.98,110,87,67.4
8,Texas Tech,B12,6-1,22.72,107.7,85,68.1
9,Kansas,B12,6-1,22.55,109.6,87,73
10,Houston,Amer,4-0,21.87,111.4,89.6,68.9
11,Duke,ACC,2-2,21.6,110.3,88.7,72.7
12,Florida St.,ACC,3-0,21.04,109.6,88.6,71.5
13,Michigan,B10,6-0,20.95,112,91,70.2
14,Indiana,B10,4-2,20.8,108.3,87.5,70.1
15,Creighton,BE,4-2,20.68,114.6,93.9,72.1
16,Tennessee,SEC,2-0,20.65,107.5,86.9,69
17,Illinois,B10,4-2,20.64,111.4,90.8,72.5
18,Virginia,ACC,3-1,20.57,106.9,86.3,62.2
19,Clemson,ACC,5-0,20.46,106.4,85.9,68.5
20,Rutgers,B10,5-0,20.42,108,87.6,71.3
21,Ohio St.,B10,5-0,20.29,111.4,91.1,68.1
22,Michigan St.,B10,6-0,20.27,111.8,91.5,73.8
23,Louisville,ACC,4-0,19.87,109.7,89.9,69.1
24,Florida,SEC,3-1,19.51,109.4,89.9,72.1
25,Oregon,P12,4-1,19.47,110.8,91.3,70.7
26,UCLA,P12,5-1,19.14,110.9,91.7,67.3
27,Syracuse,ACC,4-1,19.12,109.2,90.1,72.9
28,North Carolina,ACC,4-2,19.12,108.5,89.4,72.5
29,San Diego St.,MWC,5-0,18.71,108,89.3,68.1
30,LSU,SEC,4-1,18.17,114.3,96.2,71.8
31,Stanford,P12,2-2,18.07,105.2,87.1,71.9
32,Purdue,B10,4-2,17.97,109.1,91.2,69.3
33,Marquette,BE,5-2,17.77,109.8,92,70
34,Arkansas,SEC,6-0,17.66,108,90.4,72.7
35,Oklahoma,B12,3-1,17.52,111.9,94.4,72.2
36,N.C. State,ACC,3-0,17.38,109.4,92,71.6
37,Saint Louis,A10,4-0,17.28,108.4,91.1,69.5
38,Missouri,SEC,5-0,17.19,109.1,91.9,70.3
39,USC,P12,4-1,17.14,108.2,91,69.6
40,Kentucky,SEC,1-4,16.93,106.5,89.6,70.4
41,Mississippi,SEC,3-0,16.84,105.3,88.5,69.9
42,Minnesota,B10,6-0,16.55,108.3,91.7,72.8
43,Oklahoma St.,B12,6-0,16.5,106.4,90,72.9
44,Colorado,P12,3-1,16.49,106.3,89.8,70.1
45,Arizona,P12,5-0,16.36,106.7,90.4,70.7
46,Arizona St.,P12,4-2,16.31,110.3,94,75.5
47,Virginia Tech,ACC,4-1,16.21,108.2,92,67
48,Connecticut,BE,3-0,16.14,109,92.8,68.2
49,Penn St.,B10,3-2,16.11,108.7,92.6,71
50,Xavier,BE,7-0,15.99,109.7,93.7,69.7
51,Maryland,B10,4-2,15.88,109.6,93.7,68.5
52,Alabama,SEC,3-2,15.83,107.8,92,75.7
53,Loyola Chicago,MVC,3-0,15.61,106.8,91.1,68.9
54,SMU,Amer,4-0,15.51,109.2,93.7,71.2
55,Seton Hall,BE,4-3,15.25,108.9,93.7,70
56,Memphis,Amer,4-3,15.12,103.2,88.1,75.2
57,Richmond,A10,4-1,14.67,108.2,93.5,73.4
58,Miami FL,ACC,3-1,14.65,105.6,90.9,71.2
59,VCU,A10,5-2,14.29,103.2,88.9,71.6
60,Utah,P12,2-1,13.41,107.6,94.2,69.4
61,Cincinnati,Amer,2-2,13.19,104.4,91.2,71.2
62,Butler,BE,1-0,13.19,106.2,93,68.1
63,TCU,B12,5-2,13.08,105.1,92,66.5
64,Providence,BE,4-2,12.99,108,95,68.6
65,Dayton,A10,3-1,12.93,107.2,94.3,68.6
66,Saint Mary's,WCC,6-1,12.66,106.5,93.9,65.4
67,Furman,SC,5-1,12.29,107.4,95.1,70.8
68,South Carolina,SEC,1-2,12.08,105,92.9,73.4
69,Northwestern,B10,2-1,12.02,104.7,92.7,72.7
70,Davidson,A10,3-2,11.57,109.8,98.3,65.7
71,Georgia Tech,ACC,2-2,11.47,106.1,94.7,70.1
72,San Francisco,WCC,5-3,11.42,106.7,95.3,71.5
73,Rhode Island,A10,3-4,11.06,105.2,94.1,72.4
74,St. Bonaventure,A10,0-0,11.06,107.1,96.1,69.6
75,Auburn,SEC,3-2,10.69,105.7,95,72.6
76,Notre Dame,ACC,2-2,10.5,108.1,97.6,69.9
77,Marshall,CUSA,4-0,10.3,105.9,95.6,74.5
78,Iowa St.,B12,1-2,10.12,107.6,97.5,70.6
79,BYU,WCC,6-2,9.99,104.3,94.3,72.1
80,Texas A&M,SEC,3-1,9.98,102.4,92.4,70.5
81,Mississippi St.,SEC,3-3,9.77,106.3,96.5,67.6
82,Western Kentucky,CUSA,5-2,9.57,107.7,98.1,70.2
83,DePaul,BE,0-0,9.52,104.4,94.9,72.5
84,Duquesne,A10,1-1,9.37,104.9,95.5,71.1
85,Pittsburgh,ACC,4-1,9.12,102.7,93.5,72.3
86,St. John's,BE,5-3,8.91,105.7,96.8,75.5
87,Utah St.,MWC,2-3,8.76,103.3,94.6,71.2
88,Northern Iowa,MVC,1-4,8.72,106,97.3,71.4
89,Vermont,AE,0-0,8.41,103.6,95.2,69.4
90,Boise St.,MWC,4-1,8.08,104.2,96.1,70.9
91,South Dakota St.,Sum,5-3,8.01,108.3,100.3,72.7
92,Washington,P12,1-4,7.85,100.2,92.4,70.7
93,Tulsa,Amer,1-2,7.77,100.7,93,69.8
94,Georgia,SEC,5-0,7.63,103.2,95.6,74.3
95,Georgetown,BE,3-3,7.37,103.9,96.6,72.7
96,UAB,CUSA,6-0,7.29,102.8,95.5,72.2
97,Boston College,ACC,1-5,7.06,104,96.9,73.4
98,Murray St.,OVC,3-2,6.87,103.4,96.6,70.1
99,Yale,Ivy,0-0,6.85,105.4,98.6,70.8
100,Wichita St.,Amer,1-2,6.75,102.6,95.8,70.1
101,Wright St.,Horz,2-1,6.72,101.4,94.7,72.8
102,Pepperdine,WCC,3-3,6.67,105.7,99,72.4
103,Belmont,OVC,5-1,6.57,104.1,97.5,74.3
104,New Mexico St.,WAC,2-0,6.5,103.1,96.6,68.4
105,South Florida,Amer,4-2,6.39,99.8,93.5,69.8
106,North Texas,CUSA,1-3,6.21,102.1,95.9,67.8
107,Toledo,MAC,4-3,6.03,105.8,99.8,68.2
108,Colorado St.,MWC,2-0,6.02,106.8,100.8,71.3
109,Ohio,MAC,4-2,5.99,103.2,97.2,71.9
110,Georgia St.,SB,3-1,5.84,104.6,98.8,74.2
111,UNC Greensboro,SC,2-3,5.81,101.8,96,72.5
112,Winthrop,BSth,4-0,5.79,105,99.2,74.4
113,UCF,Amer,1-1,5.49,99.6,94.1,69.9
114,Old Dominion,CUSA,2-2,5.22,102.4,97.2,70.5
115,Santa Clara,WCC,5-0,5.14,98.3,93.2,70.6
116,Nebraska,B10,3-3,5.02,101.2,96.1,75
117,Bradley,MVC,4-2,4.79,100.4,95.6,68.7
118,Drake,MVC,6-0,4.78,103.6,98.9,70.1
119,Liberty,ASun,5-3,4.75,102.9,98.2,65.3
120,George Mason,A10,2-1,4.71,102.9,98.1,68.9
121,Abilene Christian,Slnd,6-1,4.49,97.7,93.2,70.6
122,Nevada,MWC,5-2,4.28,101.9,97.6,72
123,Wake Forest,ACC,2-0,4.25,102.5,98.2,70.8
124,Vanderbilt,SEC,2-0,4.24,100.9,96.7,71.1
125,Massachusetts,A10,1-1,4.15,103.9,99.8,73
126,East Carolina,Amer,5-0,4.06,100.6,96.6,70.5
127,UC Santa Barbara,BW,3-1,3.82,101.9,98.1,68.2
128,Louisiana Tech,CUSA,4-2,3.76,102.1,98.3,70.4
129,Oregon St.,P12,2-3,3.26,102.8,99.6,69.1
130,Ball St.,MAC,3-2,2.9,101.2,98.3,70.5
131,California,P12,3-4,2.89,99.7,96.8,67.1
132,Pacific,WCC,2-1,2.8,99.6,96.8,67.5
133,Loyola Marymount,WCC,3-3,2.6,103,100.4,70.8
134,Buffalo,MAC,2-2,2.57,102.1,99.5,74.3
135,Wofford,SC,2-2,2.56,101.4,98.8,69.5
136,UNLV,MWC,1-4,2.46,102.9,100.5,70.7
137,Indiana St.,MVC,1-1,2.43,102.6,100.2,71.3
138,Eastern Washington,BSky,1-3,2.36,100.7,98.4,73.6
139,Little Rock,SB,3-2,2.23,102.7,100.4,70.9
140,Siena,MAAC,0-0,2.11,101,98.9,70
141,Princeton,Ivy,0-0,1.9,102.3,100.4,69.5
142,Kent St.,MAC,3-1,1.82,102,100.2,72.1
143,Grand Canyon,WAC,4-1,1.78,100.7,98.9,68.6
144,Akron,MAC,1-0,1.65,101.3,99.7,71.5
145,Colgate,Pat,0-0,1.53,103.2,101.7,70.6
146,Temple,Amer,0-0,1.28,98.4,97.1,72.6
147,Mercer,SC,6-0,1.26,101.3,100,73.1
148,Washington St.,P12,5-0,0.9,95.8,94.9,70.4
149,Texas St.,SB,3-3,0.67,98.8,98.1,68.8
150,Fresno St.,MWC,1-0,0.66,99.8,99.1,68.9
151,Harvard,Ivy,0-0,0.56,100.2,99.6,71
152,UC Riverside,BW,3-1,0.37,96.7,96.3,68
153,UC Irvine,BW,2-3,0.03,98.5,98.4,71
154,Drexel,CAA,3-2,0.03,100,100,67.8
155,Kansas St.,B12,2-4,-0.05,99.1,99.1,66.3
156,La Salle,A10,2-3,-0.09,96.9,97,69.6
157,Valparaiso,MVC,2-4,-0.26,98.2,98.5,71.5
158,UT Arlington,SB,2-4,-0.33,99.5,99.8,71.5
159,Saint Joseph's,A10,0-2,-0.42,102.5,102.9,74.8
160,Hofstra,CAA,2-2,-0.47,100.3,100.8,70.8
161,Saint Peter's,MAAC,4-2,-0.48,96,96.5,69.2
162,Montana,BSky,1-4,-0.49,97.5,98,69.1
163,Louisiana,SB,4-1,-0.59,98.6,99.2,75.4
164,Austin Peay,OVC,4-2,-0.65,102.8,103.5,71.3
165,San Diego,WCC,0-2,-0.82,97.5,98.3,73.3
166,Bowling Green,MAC,4-2,-0.86,102.5,103.3,73.5
167,Stephen F. Austin,Slnd,3-2,-1.08,97,98.1,73.6
